mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
1015,C1=CC=NC=C1,255.68546,0.1306786,544.3146,3.684661e-08,0.1306786,4.8150635e-09
621,C1=CC=C(C=C1)C2=CC=CC=C2,248.49289,0.06898018,551.5071,2.4845525e-08,0.06898018,1.7138487e-09
1386,C1=CC=[S+]C=C1.[S],243.8191,0.07702994,556.1809,1.9179096e-08,0.07702994,1.4773647e-09
1385,C1=CC=[S+]C=C1.[Te],243.82443,0.076874726,556.17554,1.9184823e-08,0.076874726,1.4748279e-09
1384,C1=CC=[S+]C=C1.[Se],243.82443,0.076874726,556.17554,1.9184823e-08,0.076874726,1.4748279e-09
1343,C1=CC=[O+]C=C1,265.15393,0.01191505,534.84607,6.141567e-08,0.01191505,7.317708e-10
819,[C](F)(F)F,251.66882,0.017320309,548.3312,2.9586733e-08,0.017320309,5.1245136e-10
1388,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1387,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1391,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1390,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1392,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1393,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1389,C1=CC=[S+]C=C1.[S],254.1217,0.0050283116,545.8783,3.383596e-08,0.0050283116,1.7013775e-10
1262,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1263,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1264,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1265,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1266,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1267,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
1261,[N-]=[N+]=[N],91.417625,0.09672034,708.5824,1.2510533e-12,0.09672034,1.210023e-13
