mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
2272,CC1c2ccccc2-c2ccc(C=Cc3c4[nH]cnc4nc4nc[nH]c34)cc21,465.03088,0.25633946,334.96912,0.000366028,0.25633946,9.382742e-05
65,CN(C)c1ccc(-c2ccc3c(c2)oc2ccccc23)cc1,467.17847,0.23818411,332.82153,0.00039323882,0.23818411,9.3663235e-05
1017,C(#Cc1c[nH]c2nc3occc3nc12)c1cccc2ncccc12,461.55154,0.28755367,338.44846,0.00032556354,0.28755367,9.361699e-05
570,CC1(C)c2ccccc2-c2ccc(-c3c(C#N)cc(C#N)cc3C#N)cc21,463.91895,0.26465905,336.08105,0.00035262373,0.26465905,9.332506e-05
8302,O=S1(=O)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7cc8ccccc8s7)cc6)cn5)nc4)cc3)cc21,465.4641,0.25103888,334.5359,0.00037137518,0.25103888,9.322961e-05
803,c1ccc2c(c1)c1ccc(-c3ncon3)cc1c1nc[nH]c21,469.24905,0.22121395,330.75095,0.00042120344,0.22121395,9.317608e-05
9498,c1ccc2sc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7cnc8ccccc8c7c6)cc5)c5ncoc45)cc3)cc2c1,470.33923,0.21259005,329.66077,0.0004366425,0.21259005,9.282585e-05
2246,O=C(c1ccc(C=Cc2ccc3cnc4ccccc4c3c2)cc1)C(F)(F)F,453.88986,0.37054905,346.11014,0.00025046378,0.37054905,9.280912e-05
2293,Cc1cccc2c1[nH]c1ccc(C=Cc3cnc4cccnc4c3)cc12,455.26016,0.35338017,344.73984,0.0002626041,0.35338017,9.2799084e-05
4152,O=Cc1ccc(C=O)c(C2CCC(c3cnc4c(c3)[SiH2:2]c3cccnc3-4)CC2)c1,456.31122,0.34063366,343.68878,0.00027227882,0.34063366,9.274733e-05
7657,c1cnc2oc3ncc(-c4cc5c6c(c4)CCCN6CCC5)cc3c2c1,463.51666,0.26596722,336.48334,0.00034788562,0.26596722,9.252617e-05
2836,Fc1ccc(COCc2ccc(-c3ccccn3)nc2)c(F)c1F,466.2292,0.24272735,333.7708,0.00038099184,0.24272735,9.2477145e-05
2808,c1ccc2sc(COCc3ccc4sc5ncccc5c4c3)cc2c1,465.28613,0.250463,334.71387,0.00036916978,0.250463,9.246337e-05
3501,c1ccc2c(c1)c1ccc(COCc3ccc4c(c3)-c3ccncc3[SiH2:2]4)cc1c1nccnc21,457.8802,0.3218019,342.1198,0.00028732882,0.3218019,9.246296e-05
3307,N#Cc1ccc(COCc2ccc3c(c2)[CH2:2]c2cccnc2[SiH2:2]3)c(C#N)c1C#N,467.16125,0.23485287,332.83875,0.00039301347,0.23485287,9.230034e-05
1932,C(=Cn1nnc2ccccc21)c1ccc(-c2ccccn2)cc1,462.78433,0.2718583,337.21567,0.00033940873,0.2718583,9.227108e-05
2493,CN1c2ccccc2Sc2cc(C=Cc3c4ccoc4cc4ccoc34)ccc21,462.1593,0.27749422,337.8407,0.00033232346,0.27749422,9.221784e-05
2657,C1=C(COCc2ncncn2)Cc2ccccc21,466.66714,0.23852079,333.33286,0.00038659817,0.23852079,9.2211696e-05
1955,C(=Cc1cccc2ncccc12)c1ccc(-c2ccncc2)cc1,461.51486,0.28345373,338.48514,0.00032515952,0.28345373,9.216768e-05
2816,c1ccc(-c2ccc(COCc3nc4ccccc4s3)cc2)nc1,460.47202,0.29338783,339.52798,0.00031386508,0.29338783,9.208419e-05
3915,c1cnc2c(c1)-c1cc(-c3ccc(-c4ccnc5cnncc45)cc3)cnc1[SiH2:2]2,462.52264,0.27355185,337.47736,0.00033642555,0.27355185,9.202983e-05
1708,O=Cc1ccc(C#Cc2ccnc3c2[SiH2:2]c2cccnc2[SiH2]3)cc1,467.14648,0.23425448,332.85352,0.0003928203,0.23425448,9.2019916e-05
2177,C(=Cc1ccc2c(c1)oc1ncccc12)c1ccc(-c2ccccn2)nc1,453.3452,0.37435085,346.6548,0.00024578293,0.37435085,9.2009046e-05
3247,c1ccc2c(c1)ncn2-c1ccc(COCc2ccc3c(c2)[nH]c2ccncc23)cc1,461.95963,0.27854222,338.04037,0.00033008843,0.27854222,9.194356e-05
569,CC1(C)c2ccccc2-c2ccc(-c3c(F)c(F)cc(F)c3F)cc21,459.02853,0.3074037,340.97147,0.00029882212,0.3074037,9.185903e-05
24,c1cc2c(ccn2-c2nc3cc4ncoc4nc3o2)cn1,464.5491,0.25479993,335.4509,0.0003601643,0.25479993,9.176984e-05
6323,Cc1cc(-c2nncs2)c(C)cc1-c1ccc(-c2ccccn2)nc1,465.71658,0.24478969,334.28342,0.00037452375,0.24478969,9.1679554e-05
541,O=Cc1ccc(C=O)c(-c2c3ncsc3cc3ncsc23)c1,463.2545,0.2655587,336.7455,0.0003448289,0.2655587,9.1572314e-05
19,c1cc(-n2ccc3cnccc32)c2nccnc2c1,466.50098,0.23753238,333.49902,0.0003844622,0.23753238,9.1322225e-05
9565,c1cc2c(ccn2C2CCC(c3ncnc(C4CCC(n5cnnc5)CC4)n3)CC2)cn1,456.4814,0.33338222,343.5186,0.00027387575,0.33338222,9.13053e-05
3112,c1cnc2c(c1)-c1cc(COCc3cccc4sccc34)ccc1[SiH2:2]2,454.58557,0.35575348,345.41443,0.00025656176,0.35575348,9.127274e-05
3999,c1cnc2sc3cc(-c4ccc(-c5coc6nc7occc7nc56)cc4)ccc3c2c1,465.13654,0.24832484,334.86346,0.00036732553,0.24832484,9.1216054e-05
8295,Fc1c(F)c(-c2ccc(-c3ccc4c5ccccc5c5[nH]cnc5c4c3)cc2)c(F)c(F)c1-c1ccc(-c2ccc3c(c2)[CH2:2]c2ncccc2[SiH2:2]3)cc1,459.1968,0.30317703,340.8032,0.0003005412,0.30317703,9.111719e-05
7244,c1ccc2c(c1)Oc1ccccc1N2CSCc1nc2nc3ncoc3nc2o1,467.53058,0.22787175,332.46942,0.0003978717,0.22787175,9.066372e-05
5128,Cc1c(C)c(-c2ccc3c(c2)oc2ccccc23)c(C)c(C)c1-c1ccc(S(C)(=O)=O)cc1,482.20752,0.14136839,317.79248,0.0006411878,0.14136839,9.064369e-05
1719,C(#Cc1ccnc2c1[SiH2:2]c1cccnc1[SiH2]2)c1cncc2c1[SiH2:2]c1ccncc1-2,464.0641,0.25567594,335.9359,0.00035434772,0.25567594,9.059819e-05
1608,C(#Cc1ccnc2c1[CH2:2]c1cccnc1[SiH2:2]2)c1cnc2oc3ncccc3c2c1,458.4138,0.3095141,341.5862,0.00029261818,0.3095141,9.0569454e-05
9350,Cn1c2ccccc2c2cc3cc(COCc4c(C#N)cc(C#N)c(COCc5cc6nc7ccoc7nc6o5)c4C#N)ccc3cc21,462.96408,0.26455647,337.03592,0.00034147184,0.26455647,9.033858e-05
890,C(#Cc1cccc2sccc12)c1ccnnc1,463.88953,0.2564099,336.11047,0.00035227535,0.2564099,9.0326896e-05
2693,c1ccc2c(c1)ncn2COCc1ccc2c(c1)[nH]c1ccncc12,463.797,0.25703886,336.203,0.00035118117,0.25703886,9.02672e-05
2221,CN(C)c1ccc2cc(C=Cc3c4ncsc4cc4ncsc34)ccc2c1,465.66443,0.24130693,334.33557,0.0003738714,0.24130693,9.0217756e-05
2664,FC(F)(F)c1cccc(COCC2=Cc3ccccc3C2)c1,463.83942,0.2565146,336.16058,0.0003516824,0.2565146,9.021167e-05
9429,O=C1NC(=O)c2c(CSCc3c4scnc4cc4ncsc34)ccc(CSCc3cccc4c3[SiH2:2]c3cccnc3[SiH2]4)c21,466.9624,0.23089829,333.0376,0.00039042017,0.23089829,9.0147354e-05
3628,c1ccc2c(c1)oc1cc(CSCn3ccc4cnccc43)ccc12,466.37805,0.23543279,333.62195,0.00038288903,0.23543279,9.014463e-05
5598,c1nnc(-c2ccc(-n3cnc4cc5nc[nH]c5cc43)cc2)[nH]1,458.11707,0.31063774,341.88293,0.00028966606,0.31063774,8.998121e-05
1600,O=Cc1ccc(C#Cc2ccnc3c2[CH2:2]c2cccnc2[SiH2:2]3)cc1,464.0088,0.25437924,335.9912,0.00035369003,0.25437924,8.99714e-05
9382,CC1c2ccccc2-c2ccc(COCc3cnc4oc5ncc(COCc6ccc7c(c6)N(C)c6ccccc6N7C)cc5c4c3)cc21,458.2988,0.30860773,341.7012,0.00029147085,0.30860773,8.9950154e-05
543,c1cnc(-c2ccc(-c3c4ncsc4cc4ncsc34)cc2)nc1,459.85684,0.29159352,340.14316,0.00030737155,0.29159352,8.962755e-05
247,c1cc2c(cn1)[SiH2:2]c1cncc(-n3cnc4nc5nc[nH]c5nc43)c1-2,461.26822,0.2779219,338.73178,0.0003224553,0.2779219,8.961739e-05
3230,c1ccc2c(c1)sc1cc(COCc3c4ncsc4cc4ncsc34)ccc12,457.28677,0.31794593,342.71323,0.00028154923,0.31794593,8.951743e-05
1779,C(#Cc1ccc2c3ccccc3c3nccnc3c2c1)c1ccc2sc3ncccc3c2c1,462.7257,0.26401845,337.2743,0.00033873838,0.26401845,8.943318e-05
3072,Cn1c2ccccc2c2ccc(COCc3cc(C=O)ccc3C=O)cc21,467.67343,0.22346902,332.32657,0.00039976562,0.22346902,8.933523e-05
9427,CN(C)c1cccc2c(CSCc3ccc(CSCn4cccn4)c4c3C(=O)NC4=O)cccc12,455.01923,0.34285855,344.98077,0.00026043117,0.34285855,8.9291054e-05
2254,O=C1C=CC(=O)C(C=Cc2ccnc3c2ccc2cccnc23)=C1,465.0213,0.24364196,334.9787,0.00036591073,0.24364196,8.915121e-05
8112,O=Cc1cc(COCc2cocn2)c(C=O)cc1COCc1ccc2c(c1)[CH2:2]c1cccnc1[SiH2:2]2,466.53546,0.23155122,333.46454,0.00038490465,0.23155122,8.912514e-05
9351,Cn1c2ccccc2c(=O)c2ccc(COCc3ccc(-c4ccc(COCc5ccc6c(c5)C(C)(C)c5ccccc5-6)cn4)nc3)cc21,467.83524,0.22158544,332.16476,0.00040192032,0.22158544,8.905969e-05
1705,CN1c2ccccc2Sc2cc(C#Cc3cncc4c3[nH]c3ccncc34)ccc21,465.01538,0.24320795,334.98462,0.00036583797,0.24320795,8.89747e-05
5206,Cc1c(C)c(-c2coc3nc4occc4nc23)c(C)c(C)c1-c1ccc2c(c1)N(C)c1ccccc1N2C,452.36774,0.37411985,347.63226,0.00023758276,0.37411985,8.888443e-05
5603,c1nc2cc3ncn(-c4ccc(-c5c[nH]c6nc7occc7nc56)cc4)c3cc2[nH]1,460.92892,0.27876472,339.07108,0.00031876867,0.27876472,8.886146e-05
1417,C(#Cc1cccc2ccccc12)c1ccc2c(c1)sc1ccccc12,463.22882,0.25783628,336.77118,0.00034453094,0.25783628,8.8832574e-05
2003,CC(=O)c1ccc(C=Cc2cc(F)c(F)c(F)c2)cc1,464.10736,0.25000963,335.89264,0.0003548631,0.25000963,8.8719185e-05
6269,Cc1cc(-c2cocn2)c(C)cc1-c1ccc2c(c1)sc1ccccc12,453.67166,0.35689023,346.32834,0.00024857867,0.35689023,8.87153e-05
9335,O=Cc1cc(COCn2ccc3ccccc32)c(C=O)cc1COCc1ccc2c(c1)-c1ncccc1[SiH2:2]2,461.10095,0.2766622,338.89905,0.00032063306,0.2766622,8.870705e-05
2258,O=[SH](=O)c1cccc(C=Cc2ccnc3c2ccc2cccnc23)c1,453.97388,0.35286996,346.02612,0.000251193,0.35286996,8.8638466e-05
2149,C(=Cc1c2ccoc2cc2ccoc12)c1ccc2c(c1)[nH]c1ncccc12,464.977,0.24215412,335.023,0.00036536797,0.24215412,8.847536e-05
4036,CN1c2ccccc2N(C)c2cc(-c3ccc(-c4ccc(C#N)cc4)cc3)ccc21,466.60327,0.22916989,333.39673,0.00038577596,0.22916989,8.840823e-05
4159,c1cnc2sc3cc(C4CCC(c5cnc6cnccc6c5)CC4)ccc3c2c1,456.602,0.3214157,343.398,0.0002750123,0.3214157,8.839327e-05
1602,N#Cc1ccc(C#Cc2ccnc3c2[CH2:2]c2cccnc2[SiH2:2]3)cc1C#N,466.882,0.2270001,333.118,0.00038937587,0.2270001,8.838836e-05
2218,CN(C)c1ccc2cc(C=Cc3c4[nH]cnc4nc4nc[nH]c34)ccc2c1,453.77267,0.354253,346.22733,0.00024944972,0.354253,8.836831e-05
3069,Cn1c2ccccc2c2ccc(COCc3nccc4[nH]ccc34)cc21,468.75937,0.21314476,331.24063,0.00041443133,0.21314476,8.8333865e-05
2992,c1ccc(N(COCc2nc3nc4ncoc4nc3o2)c2ccccc2)cc1,456.4806,0.32219142,343.5194,0.00027386795,0.32219142,8.82379e-05
7645,O=C1C=CC(=O)c2c1cccc2-c1cc2sc(N3c4ccccc4Oc4ccccc43)cc2s1,458.70367,0.298561,341.29633,0.00029552882,0.298561,8.8233384e-05
1485,C(#CP(c1ccccc1)c1ccccc1)c1ccc(-c2cccnc2)cc1,464.30417,0.24699987,335.69583,0.00035721614,0.24699987,8.8232344e-05
648,CN1c2ccccc2Oc2cc(-c3ccc4c(c3)[nH]c3cnccc34)ccc21,459.16605,0.29379287,340.83395,0.00030022624,0.29379287,8.820433e-05
5462,c1nnc(CSCc2cc3c4c(c2)CCCN4CCC3)o1,461.0923,0.27498114,338.9077,0.0003205389,0.27498114,8.814215e-05
511,c1cc(-c2cnc3sc4ncccc4c3c2)c2nccnc2c1,454.16547,0.34845337,345.83453,0.00025286333,0.34845337,8.811108e-05
5467,CC1c2ccccc2-c2ccc(CSCc3nc4nc5ncoc5nc4o3)cc21,462.74747,0.25984892,337.25253,0.00033898707,0.25984892,8.808543e-05
1374,C(#Cc1c2nc[nH]c2cc2[nH]cnc12)c1ccc2c(c1)-c1ncccc1[SiH2:2]2,461.11737,0.27437732,338.88263,0.00032081138,0.27437732,8.8023364e-05
8323,c1nc2cc3ncn(-c4ccc(-c5cnc6c(c5)[SiH2:2]c5cc(-c7ccc(-c8c9ncsc9cc9ncsc89)cc7)cnc5-6)cc4)c3cc2[nH]1,459.99744,0.28488383,340.00256,0.0003088447,0.28488383,8.798486e-05
4023,CN1c2ccccc2Oc2cc(-c3ccc(-c4ccnc5cnncc45)cc3)ccc21,464.09003,0.2480115,335.90997,0.00035465657,0.2480115,8.7958906e-05
1193,C(#Cn1c2ccccc2c2ccccc21)c1ccnnc1,458.432,0.3003334,341.568,0.00029280034,0.3003334,8.7937726e-05
3480,c1ccc2ncc(COCc3ccc4c5ccccc5c5[nH]cnc5c4c3)cc2c1,454.34644,0.34543625,345.65356,0.00025445048,0.34543625,8.789642e-05
1099,O=c1cc[nH]c2c(C#Cc3ccc4c(c3)oc3ncccc34)cccc12,457.63123,0.30786598,342.36877,0.000284891,0.30786598,8.770824e-05
3391,c1cc(COCc2c3ncoc3cc3ncoc23)c2c(c1)[SiH2]c1ncccc1[SiH2:2]2,465.55466,0.2350487,334.44534,0.00037250156,0.2350487,8.755601e-05
5161,Cc1c(C)c(-c2ccc3c(c2)sc2ccccc23)c(C)c(C)c1-c1ccc(S(C)(=O)=O)cc1,462.31882,0.26170912,337.68118,0.0003341188,0.26170912,8.744194e-05
3184,c1ccc2c(c1)Oc1ccc(COCc3nccc4[nH]ccc34)cc1O2,467.31277,0.22102183,332.68723,0.00039500007,0.22102183,8.730364e-05
6788,Cc1c(C)c(-n2cnc3ccccc32)c(C)c(C)c1-c1ccc(C(=O)C(F)(F)F)cc1,459.9897,0.28255764,340.0103,0.00030876324,0.28255764,8.724341e-05
2778,Cn1ccc2c(COCc3ccc(S(C)(=O)=O)cc3)cccc21,459.16672,0.2898765,340.83328,0.0003002331,0.2898765,8.703052e-05
3705,CC1C=C(CSCc2cccc3ocnc23)c2ccccc21,459.0177,0.29132354,340.9823,0.0002987117,0.29132354,8.7021755e-05
5909,O=c1[nH]ccn1C(c1ccccc1)c1c2[nH]cnc2nc2nc[nH]c12,460.151,0.2797312,339.849,0.00031046104,0.2797312,8.684564e-05
2817,c1ccc2sc(COCc3c4nc[nH]c4cc4[nH]cnc34)nc2c1,466.50565,0.22581539,333.49435,0.00038452217,0.22581539,8.683102e-05
2363,C(=Cc1ccc2c(c1)sc1ccccc12)c1ccc(-c2ccccn2)nc1,460.59973,0.27535444,339.40027,0.00031522877,0.27535444,8.679964e-05
1375,C(#Cc1c2[nH]cnc2nc2nc[nH]c12)c1ccc2c(c1)-c1ncccc1[SiH2:2]2,457.4931,0.3060852,342.5069,0.00028354672,0.3060852,8.6789456e-05
2647,O=c1[nH]ccn1COCc1ccc2c(c1)-c1ccncc1[SiH2:2]2,463.81586,0.24694712,336.18414,0.00035140396,0.24694712,8.67782e-05
2274,CC1c2ccccc2-c2ccc(C=Cc3nc4nc5ncoc5nc4o3)cc21,457.117,0.30995378,342.883,0.00027991555,0.30995378,8.676088e-05
1469,C(#Cc1cncc2nccnc12)c1cnc2sc3ncccc3c2c1,460.7637,0.273593,339.2363,0.00031698748,0.273593,8.672556e-05
244,c1nc2nc3nc(-n4cnc5nc6nc[nH]c6nc54)[nH]c3nc2[nH]1,465.14624,0.23574138,334.85376,0.000367445,0.23574138,8.662199e-05
775,c1cc(-c2ccc(-c3cc4c5c(c3)CCCN5CCC4)cc2)cnn1,461.0175,0.27053896,338.9825,0.00031972726,0.27053896,8.649868e-05
8265,Cc1cccc2c1[nH]c1ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)sc6ncccc67)cc5)c5ocnc45)cc3)cc12,464.11813,0.24363303,335.88187,0.00035499156,0.24363303,8.648767e-05
2804,c1ccc2ncc(COCc3cc4ccccc4s3)cc2c1,464.98553,0.23658156,335.01447,0.00036547234,0.23658156,8.646402e-05
9250,CN(C)c1ccc2cc(C=Cc3ccc(C=Cn4c5ccccc5c(=O)c5ccccc54)c4ncsc34)ccc2c1,466.1696,0.22721776,333.8304,0.00038023465,0.22721776,8.639607e-05
758,Cn1c2ccccc2c2cc3cc(-c4c5ccoc5cc5ccoc45)ccc3cc21,462.7547,0.25466317,337.2453,0.00033906984,0.25466317,8.63486e-05
9164,Fc1c(F)c(C#Cn2cnnc2)c(F)c(F)c1C#Cc1ccnc2c1ccc1cccnc12,461.61536,0.264642,338.38464,0.00032626739,0.264642,8.634405e-05
468,c1cnc2cc(-c3ccc4c(c3)sc3ccccc34)cnc2c1,466.6018,0.22374223,333.3982,0.000385757,0.22374223,8.631014e-05
2169,C(=Cn1c2ccccc2c2cnccc21)c1ccc(-c2ccccn2)nc1,459.93243,0.27989715,340.06757,0.0003081627,0.27989715,8.6253865e-05
2253,Cn1cnnc1C=Cc1ccnc2c1ccc1cccnc12,466.4026,0.22497894,333.5974,0.00038320263,0.22497894,8.621252e-05
2556,C(=Cc1nnco1)c1ccc2c3ccccc3c3[nH]cnc3c2c1,462.3214,0.2576379,337.6786,0.00033414795,0.2576379,8.6089174e-05
1035,CC1C=C(C#Cc2cccc3ccccc23)c2ccccc21,461.74936,0.2625985,338.25064,0.00032774996,0.2625985,8.6066655e-05
3919,Cn1ccc2c(-c3ccc(-c4c[nH]c5nc6occc6nc45)cc3)cccc21,467.48126,0.21654044,332.51874,0.0003972198,0.21654044,8.6014144e-05
1508,C(#Cc1nccc2[nH]ccc12)c1ccc(-n2cnc3ccccc32)cc1,455.14304,0.32824105,344.85696,0.00026154573,0.32824105,8.585005e-05
3192,O=C1C=CC(=O)C(COCc2ccc3c(c2)sc2ncccc23)=C1,460.09576,0.2770046,339.90424,0.00030987876,0.2770046,8.583784e-05
5657,c1cc(-c2ccc(-c3cnc4sc5ncccc5c4c3)cc2)c2nccnc2c1,462.77612,0.25279325,337.22388,0.0003393147,0.25279325,8.577646e-05
2617,c1ccc2c(c1)sc1cc(COCn3cnnc3)ccc12,463.66888,0.24477407,336.33112,0.0003496716,0.24477407,8.5590545e-05
3486,O=C(c1ccc(COCc2ccc3c4ccccc4c4[nH]cnc4c3c2)cc1)C(F)(F)F,455.75635,0.32033995,344.24365,0.00026713143,0.32033995,8.5572865e-05
1776,Fc1cc(F)c(F)c(C#Cc2ccc3c4ccccc4c4nccnc4c3c2)c1F,460.16843,0.27474573,339.83157,0.00031064494,0.27474573,8.534837e-05
230,c1cc2nccc(-c3cc4nc5ccoc5nc4o3)c2cn1,460.729,0.26951966,339.271,0.00031661452,0.26951966,8.5333835e-05
7232,CN1c2ccccc2N(C)c2cc(COCc3nc4nc5ncoc5nc4o3)ccc21,464.57126,0.23656686,335.42874,0.00036043214,0.23656686,8.52663e-05
3202,CC1c2ccccc2-c2ccc(COCc3ccc4c(c3)sc3ncccc34)cc21,469.4537,0.20095283,330.5463,0.0004240633,0.20095283,8.521672e-05
1714,C(#Cc1ccnc2c1[SiH2:2]c1cccnc1[SiH2]2)c1ccc2c(c1)oc1ccccc12,452.94794,0.35124788,347.05206,0.00024241924,0.35124788,8.5149244e-05
902,Cn1cnc2c(C#Cc3cccs3)cccc21,457.3908,0.30116743,342.6092,0.00028255483,0.30116743,8.509631e-05
1882,FC(F)(F)c1cccc(C=Cn2ccc3ccccc32)c1,458.2227,0.29259568,341.7773,0.00029071368,0.29259568,8.506157e-05
