split,n,rmse,mae,spearman,pearson,pairwise
trainval,11099,9.278324127197266,4.360028266906738,0.9930822191025678,0.9956280417684268,0.9771354395458103
test,1234,12.52223014831543,4.70367956161499,0.9871946868313235,0.991921758441213,0.9745703026082553
