dataset,split,n,rmse,mae,spearman,pearson,pairwise
lambda,trainval,11099,9.278324127197266,4.360028266906738,0.9930822191025678,0.9956280417684268,0.9771354395458103
lambda,test,1234,12.52223014831543,4.70367956161499,0.9871946868313235,0.991921758441213,0.9745703026082553
phi,trainval,1149,0.2087387591600418,0.1606491059064865,0.7232675818326336,0.7428547384895154,0.7636322150282078
phi,test,129,0.1993778496980667,0.15014763176441193,0.7781974564596671,0.8041909018801593,0.7870155275706077
