split,n,rmse,mae,spearman,pearson,pairwise
trainval,1149,0.2087387591600418,0.1606491059064865,0.7232675818326336,0.7428547384895154,0.7636322150282078
test,129,0.1993778496980667,0.15014763176441193,0.7781974564596671,0.8041909018801593,0.7870155275706077
